nazwa	szerokosc	dlugosc	wojewodztwo	powiat
Mikołajki	53.8008	21.5760	warmińsko-mazurskie	mrągowski
Mikołów	50.1683	18.9039	śląskie	mikołowski
Mikstat	51.5321	17.9731	wielkopolskie	ostrzeszowski
Milanówek	52.1248	20.6693	mazowieckie	grodziski
Milicz	51.5243	17.2727	dolnośląskie	milicki
Miłakowo	54.0083	20.0695	warmińsko-mazurskie	ostródzki
Miłomłyn	53.7643	19.8381	warmińsko-mazurskie	ostródzki
Miłosław	52.2028	17.4886	wielkopolskie	wrzesiński
Mińsk Mazowiecki	52.1793	21.5721	mazowieckie	miński
Mirosławiec	53.3415	16.0881	zachodniopomorskie	wałecki
Mirsk	50.9701	15.3831	dolnośląskie	lwówecki
Mława	53.1123	20.3837	mazowieckie	mławski
Młynary	54.1878	19.7228	warmińsko-mazurskie	elbląski
Modliborzyce	50.7541	22.3294	lubelskie	janowski
Mogielnica	51.6936	20.7215	mazowieckie	grójecki
Mogilno	52.6577	17.9499	kujawsko-pomorskie	mogileński
Mońki	53.4049	22.7971	podlaskie	moniecki
Morawica	50.7451	20.6203	świętokrzyskie	kielecki
Morąg	53.9152	19.9272	warmińsko-mazurskie	ostródzki
Mordy	52.2113	22.5171	mazowieckie	siedlecki
Moryń	52.8576	14.3985	zachodniopomorskie	gryfiński
Mosina	52.2446	16.8506	wielkopolskie	poznański
Mrągowo	53.8769	21.3040	warmińsko-mazurskie	mrągowski
Mrocza	53.2456	17.6076	kujawsko-pomorskie	nakielski
Mrozy	52.1656	21.8026	mazowieckie	miński
Mszana Dolna	49.6780	20.0824	małopolskie	limanowski
Mszczonów	51.9744	20.5126	mazowieckie	żyrardowski
Murowana Goślina	52.5758	17.0094	wielkopolskie	poznański
Muszyna	49.3548	20.8960	małopolskie	nowosądecki
Mysłowice	50.2121	19.1476	śląskie	Mysłowice
Myszków	50.5754	19.3260	śląskie	myszkowski
Myszyniec	53.3804	21.3496	mazowieckie	ostrołęcki
Myślenice	49.8332	19.9390	małopolskie	myślenicki
Myślibórz	52.9251	14.8677	zachodniopomorskie	myśliborski
Nakło nad Notecią	53.1386	17.6047	kujawsko-pomorskie	nakielski
Nałęczów	51.2877	22.2149	lubelskie	puławski
Namysłów	51.0766	17.7173	opolskie	namysłowski
Narol	50.3488	23.3269	podkarpackie	lubaczowski
Nasielsk	52.5901	20.8047	mazowieckie	nowodworski
Nekla	52.3644	17.4124	wielkopolskie	wrzesiński
Nidzica	53.3616	20.4260	warmińsko-mazurskie	nidzicki
Niemcza	50.7167	16.8350	dolnośląskie	dzierżoniowski
Niemodlin	50.6423	17.6194	opolskie	opolski
Niepołomice	50.0331	20.2164	małopolskie	wielicki
Nieszawa	52.8341	18.9024	kujawsko-pomorskie	aleksandrowski
Nisko	50.5185	22.1477	podkarpackie	niżański
Nowa Dęba	50.4164	21.7503	podkarpackie	tarnobrzeski
Nowa Ruda	50.5788	16.5024	dolnośląskie	kłodzki
Nowa Sarzyna	50.3204	22.3437	podkarpackie	leżajski
Nowa Słupia	50.8638	21.0899	świętokrzyskie	kielecki
Nowa Sól	51.8011	15.7074	lubuskie	nowosolski
Nowe	53.6488	18.7262	kujawsko-pomorskie	świecki
Nowe Brzesko	50.1311	20.3744	małopolskie	proszowicki
Nowe Miasteczko	51.6902	15.7308	lubuskie	nowosolski
Nowe Miasto	52.6578	20.6286	mazowieckie	płoński
Nowe Miasto Lubawskie	53.4240	19.5923	warmińsko-mazurskie	nowomiejski
Nowe Miasto nad Pilicą	51.6176	20.5767	mazowieckie	grójecki
Nowe Skalmierzyce	51.7086	17.9900	wielkopolskie	ostrowski
Nowe Warpno	53.7227	14.2881	zachodniopomorskie	policki
Nowogard	53.6682	15.1244	zachodniopomorskie	goleniowski
Nowogrodziec	51.1971	15.3980	dolnośląskie	bolesławiecki
Nowogród	53.2266	21.8790	podlaskie	łomżyński
Nowogród Bobrzański	51.8017	15.2468	lubuskie	zielonogórski
Nowy Dwór Gdański	54.2138	19.1188	pomorskie	nowodworski
Nowy Dwór Mazowiecki	52.4303	20.7162	mazowieckie	nowodworski
Nowy Korczyn	50.3011	20.8074	świętokrzyskie	buski
Nowy Sącz	49.6203	20.7021	małopolskie	Nowy Sącz
Nowy Staw	54.1361	19.0094	pomorskie	malborski
Nowy Targ	49.4775	20.0321	małopolskie	nowotarski
Nowy Tomyśl	52.3167	16.1326	wielkopolskie	nowotomyski
Nowy Wiśnicz	49.9152	20.4621	małopolskie	bocheński
Nysa	50.4737	17.3327	opolskie	nyski
Oborniki	52.6458	16.8089	wielkopolskie	obornicki
Oborniki Śląskie	51.2995	16.9140	dolnośląskie	trzebnicki
Obrzycko	52.7081	16.5268	wielkopolskie	szamotulski
Odolanów	51.5745	17.6736	wielkopolskie	ostrowski
Ogrodzieniec	50.4517	19.5217	śląskie	zawierciański
Okonek	53.5352	16.8497	wielkopolskie	złotowski
Olecko	54.0379	22.5027	warmińsko-mazurskie	olecki
Olesno	50.8766	18.4218	opolskie	oleski
Oleszyce	50.1681	23.0317	podkarpackie	lubaczowski
Oleśnica	51.2095	17.3803	dolnośląskie	oleśnicki
Oleśnica	50.4505	21.0650	świętokrzyskie	staszowski
Olkusz	50.2790	19.5600	małopolskie	olkuski
Olsztyn	50.7507	19.2678	śląskie	częstochowski
Olsztyn	53.7765	20.4877	warmińsko-mazurskie	Olsztyn
Olsztynek	53.5836	20.2849	warmińsko-mazurskie	olsztyński
Olszyna	51.0671	15.3783	dolnośląskie	lubański
Oława	50.9406	17.2987	dolnośląskie	oławski
Opalenica	52.3075	16.4131	wielkopolskie	nowotomyski
Opatowiec	50.2423	20.7238	świętokrzyskie	kazimierski
Opatów	50.8014	21.4240	świętokrzyskie	opatowski
Opatówek	51.7395	18.2141	wielkopolskie	kaliski
Opoczno	51.3768	20.2865	łódzkie	opoczyński
Opole	50.6677	17.9286	opolskie	Opole
Opole Lubelskie	51.1474	21.9691	lubelskie	opolski
Orneta	54.1164	20.1311	warmińsko-mazurskie	lidzbarski
Orzesze	50.1087	18.7926	śląskie	mikołowski
Orzysz	53.8099	21.9473	warmińsko-mazurskie	piski
Osieczna	51.9043	16.6776	wielkopolskie	leszczyński
Osiek	50.5205	21.4428	świętokrzyskie	staszowski
Ostrołęka	53.0814	21.5715	mazowieckie	Ostrołęka
Ostroróg	52.6267	16.4508	wielkopolskie	szamotulski
Ostrowiec Świętokrzyski	50.9439	21.3899	świętokrzyskie	ostrowiecki
Ostróda	53.6993	19.9607	warmińsko-mazurskie	ostródzki
Ostrów Lubelski	51.4974	22.8550	lubelskie	lubartowski
Ostrów Mazowiecka	52.8025	21.8950	mazowieckie	ostrowski
Ostrów Wielkopolski	51.6498	17.8175	wielkopolskie	ostrowski
Ostrzeszów	51.4265	17.9331	wielkopolskie	ostrzeszowski
Ośno Lubuskie	52.4559	14.8768	lubuskie	słubicki
Oświęcim	50.0380	19.2209	małopolskie	oświęcimski
Otmuchów	50.4653	17.1725	opolskie	nyski
Otwock	52.1088	21.2649	mazowieckie	otwocki
Otyń	51.8459	15.7084	lubuskie	nowosolski
Ozimek	50.6788	18.2137	opolskie	opolski
Ozorków	51.9622	19.2949	łódzkie	zgierski
Ożarów	50.8875	21.6665	świętokrzyskie	opatowski
Ożarów Mazowiecki	52.2105	20.7940	mazowieckie	warszawski zachodni
Pabianice	51.6650	19.3592	łódzkie	pabianicki
Pacanów	50.4004	21.0413	świętokrzyskie	buski
Paczków	50.4640	17.0065	opolskie	nyski
Pajęczno	51.1469	18.9950	łódzkie	pajęczański
Pakość	52.8070	18.0877	kujawsko-pomorskie	inowrocławski
Parczew	51.6407	22.9001	lubelskie	parczewski
Pasłęk	54.0653	19.6587	warmińsko-mazurskie	elbląski
Pasym	53.6502	20.7915	warmińsko-mazurskie	szczycieński
Pelplin	53.9282	18.6977	pomorskie	tczewski
Pełczyce	53.0439	15.3041	zachodniopomorskie	choszczeński
Piaseczno	52.0757	21.0270	mazowieckie	piaseczyński
Piaski	51.1388	22.8485	lubelskie	świdnicki
Piastów	52.1845	20.8400	mazowieckie	pruszkowski
Piątek	52.0688	19.4797	łódzkie	łęczycki
Piechowice	50.8498	15.5993	dolnośląskie	karkonoski
Piekary Śląskie	50.3779	18.9437	śląskie	Piekary Śląskie
Piekoszów	50.8817	20.4659	świętokrzyskie	kielecki
Pieniężno	54.2388	20.1247	warmińsko-mazurskie	braniewski
Pieńsk	51.2465	15.0456	dolnośląskie	zgorzelecki
Pierzchnica	50.6974	20.7538	świętokrzyskie	kielecki
Pieszyce	50.7123	16.5804	dolnośląskie	dzierżoniowski
Pilawa	51.9589	21.5327	mazowieckie	garwoliński
Pilica	50.4682	19.6581	śląskie	zawierciański
Pilzno	49.9783	21.2911	podkarpackie	dębicki
Piła	53.1476	16.7395	wielkopolskie	pilski
Piława Górna	50.6816	16.7540	dolnośląskie	dzierżoniowski
Pińczów	50.5206	20.5266	świętokrzyskie	pińczowski
Pionki	51.4757	21.4501	mazowieckie	radomski
Piotrków Kujawski	52.5511	18.4976	kujawsko-pomorskie	radziejowski
Piotrków Trybunalski	51.4111	19.6861	łódzkie	Piotrków Trybunalski
Pisz	53.6300	21.8060	warmińsko-mazurskie	piski
Piwniczna-Zdrój	49.4398	20.7136	małopolskie	nowosądecki
Pleszew	51.8963	17.7857	wielkopolskie	pleszewski
Płock	52.5453	19.6849	mazowieckie	Płock
Płońsk	52.6223	20.3701	mazowieckie	płoński
Płoty	53.8044	15.2682	zachodniopomorskie	gryficki
Pniewy	52.5079	16.2553	wielkopolskie	szamotulski
Pobiedziska	52.4774	17.2850	wielkopolskie	poznański
Poddębice	51.8930	18.9550	łódzkie	poddębicki
Podkowa Leśna	52.1230	20.7250	mazowieckie	grodziski
Pogorzela	51.8224	17.2304	wielkopolskie	gostyński
Polanica-Zdrój	50.4032	16.5113	dolnośląskie	kłodzki
Polanów	54.1186	16.6843	zachodniopomorskie	koszaliński
Police	53.5524	14.5721	zachodniopomorskie	policki
Polkowice	51.5033	16.0683	dolnośląskie	polkowicki
Połaniec	50.4327	21.2802	świętokrzyskie	staszowski
Połczyn-Zdrój	53.7670	16.0909	zachodniopomorskie	świdwiński
Poniatowa	51.1929	22.0647	lubelskie	opolski
Poniec	51.7634	16.8087	wielkopolskie	gostyński
Poręba	50.4879	19.3383	śląskie	zawierciański
Poznań	52.4079	16.9335	wielkopolskie	Poznań
Prabuty	53.7560	19.2045	pomorskie	kwidzyński
Praszka	51.0538	18.4531	opolskie	oleski
Prochowice	51.2732	16.3622	dolnośląskie	legnicki
Proszowice	50.1925	20.2900	małopolskie	proszowicki
Prószków	50.5767	17.8714	opolskie	opolski
Pruchnik	49.9061	22.5155	podkarpackie	jarosławski
Prudnik	50.3215	17.5806	opolskie	prudnicki
Prusice	51.3710	16.9603	dolnośląskie	trzebnicki
Pruszcz	53.3308	18.1972	kujawsko-pomorskie	świecki
Pruszcz Gdański	54.2615	18.6415	pomorskie	gdański
Pruszków	52.1625	20.8034	mazowieckie	pruszkowski
Przasnysz	53.0187	20.8848	mazowieckie	przasnyski
Przecław	50.1943	21.4798	podkarpackie	mielecki
Przedbórz	51.0875	19.8739	łódzkie	radomszczański
Przedecz	52.3339	18.8990	wielkopolskie	kolski
Przemków	51.5281	15.7883	dolnośląskie	polkowicki
Przemyśl	49.7823	22.7751	podkarpackie	Przemyśl
Przeworsk	50.0587	22.4937	podkarpackie	przeworski
Przysucha	51.3587	20.6287	mazowieckie	przysuski
Pszczyna	49.9764	18.9586	śląskie	pszczyński
Pszów	50.0370	18.3962	śląskie	wodzisławski
Puck	54.7172	18.4076	pomorskie	pucki
Puławy	51.4165	21.9692	lubelskie	puławski
Pułtusk	52.7040	21.0872	mazowieckie	pułtuski
Puszczykowo	52.2847	16.8544	wielkopolskie	poznański
Pyrzyce	53.1458	14.8925	zachodniopomorskie	pyrzycki
Pyskowice	50.3978	18.6275	śląskie	gliwicki
Pyzdry	52.1671	17.6869	wielkopolskie	wrzesiński
Rabka-Zdrój	49.6100	19.9528	małopolskie	nowotarski
Raciąż	52.7804	20.1192	mazowieckie	płoński
Racibórz	50.0906	18.2197	śląskie	raciborski
Radków	50.5039	16.4008	dolnośląskie	kłodzki
Radlin	50.0478	18.4714	śląskie	wodzisławski
Radłów	50.0831	20.8478	małopolskie	tarnowski
Radom	51.4007	21.1578	mazowieckie	Radom
Radomsko	51.0675	19.4444	łódzkie	radomszczański
Radomyśl Wielki	50.1960	21.2780	podkarpackie	mielecki
Radoszyce	51.0744	20.2551	świętokrzyskie	konecki
Radymno	49.9516	22.8186	podkarpackie	jarosławski
Radziejów	52.6230	18.5272	kujawsko-pomorskie	radziejowski
Radzionków	50.3999	18.9031	śląskie	tarnogórski
Radzymin	52.4183	21.1812	mazowieckie	wołomiński
Radzyń Chełmiński	53.3849	18.9361	kujawsko-pomorskie	grudziądzki
Radzyń Podlaski	51.7850	22.6190	lubelskie	radzyński
Rajgród	53.7297	22.6916	podlaskie	grajewski
Rakoniewice	52.1386	16.2733	wielkopolskie	grodziski
Raszków	51.7182	17.7258	wielkopolskie	ostrowski
Rawa Mazowiecka	51.7650	20.2522	łódzkie	rawski
Rawicz	51.6094	16.8584	wielkopolskie	rawicki
Recz	53.2598	15.5465	zachodniopomorskie	choszczeński
Reda	54.6052	18.3473	pomorskie	wejherowski
Rejowiec	51.0946	23.2835	lubelskie	chełmski
Rejowiec Fabryczny	51.1188	23.2467	lubelskie	chełmski
Resko	53.7725	15.4067	zachodniopomorskie	łobeski
Reszel	54.0504	21.1454	warmińsko-mazurskie	kętrzyński
Rogoźno	52.7523	16.9917	wielkopolskie	obornicki
Ropczyce	50.0529	21.6110	podkarpackie	ropczycko-sędziszowski
Rozprza	51.3026	19.6461	łódzkie	piotrkowski
Różan	52.8873	21.3910	mazowieckie	makowski
Ruciane-Nida	53.6418	21.5371	warmińsko-mazurskie	piski
Ruda Śląska	50.2765	18.8639	śląskie	Ruda Śląska
Rudnik nad Sanem	50.4416	22.2466	podkarpackie	niżański
Rumia	54.5785	18.3978	pomorskie	wejherowski
Rybnik	50.0929	18.5416	śląskie	Rybnik
Rychwał	52.0698	18.1663	wielkopolskie	koniński
Rydułtowy	50.0634	18.4208	śląskie	wodzisławski
Rydzyna	51.7867	16.6672	wielkopolskie	leszczyński
Ryglice	49.8792	21.1383	małopolskie	tarnowski
Ryki	51.6257	21.9325	lubelskie	rycki
Rymanów	49.5762	21.8676	podkarpackie	krośnieński
Ryn	53.9388	21.5466	warmińsko-mazurskie	giżycki
Rypin	53.0659	19.4130	kujawsko-pomorskie	rypiński
Rzepin	52.3466	14.8324	lubuskie	słubicki
Rzeszów	50.0411	21.9991	podkarpackie	Rzeszów
Rzgów	51.6630	19.4901	łódzkie	łódzki wschodni
Sandomierz	50.6797	21.7491	świętokrzyskie	sandomierski
Sanniki	52.3320	19.8615	mazowieckie	gostyniński
Sanok	49.5599	22.2022	podkarpackie	sanocki
Sejny	54.1073	23.3481	podlaskie	sejneński
Serock	52.5129	21.0695	mazowieckie	legionowski
Sędziszów	50.5634	20.0520	świętokrzyskie	jędrzejowski
Sędziszów Małopolski	50.0710	21.7020	podkarpackie	ropczycko-sędziszowski
Sępopol	54.2681	21.0149	warmińsko-mazurskie	bartoszycki
Sępólno Krajeńskie	53.4557	17.5370	kujawsko-pomorskie	sępoleński
Sianów	54.2254	16.2968	zachodniopomorskie	koszaliński
Siechnice	51.0336	17.1469	dolnośląskie	wrocławski
Siedlce	52.1637	22.2876	mazowieckie	Siedlce
Siedliszcze	51.1946	23.1640	lubelskie	chełmski
Siemianowice Śląskie	50.3048	19.0262	śląskie	Siemianowice Śląskie
Siemiatycze	52.4283	22.8711	podlaskie	siemiatycki
Sieniawa	50.1778	22.6096	podkarpackie	przeworski
Sieradz	51.5961	18.7322	łódzkie	sieradzki
Sieraków	52.6496	16.0822	wielkopolskie	międzychodzki
Sierpc	52.8563	19.6688	mazowieckie	sierpecki
Siewierz	50.4694	19.2364	śląskie	będziński
Skalbmierz	50.3197	20.3991	świętokrzyskie	kazimierski
Skała	50.2304	19.8541	małopolskie	krakowski
Skarszewy	54.0716	18.4398	pomorskie	starogardzki
Skaryszew	51.3106	21.2523	mazowieckie	radomski
Skarżysko-Kamienna	51.1130	20.8718	świętokrzyskie	skarżyski
Skawina	49.9750	19.8264	małopolskie	krakowski
Skępe	52.8678	19.3563	kujawsko-pomorskie	lipnowski
Skierniewice	51.9586	20.1411	łódzkie	Skierniewice
Skoczów	49.8019	18.7875	śląskie	cieszyński
Skoki	52.6735	17.1591	wielkopolskie	wągrowiecki
Skórcz	53.7939	18.5250	pomorskie	starogardzki
Skwierzyna	52.5990	15.5059	lubuskie	międzyrzecki
Sława	51.8810	16.0716	lubuskie	wschowski
Sławków	50.2983	19.3883	śląskie	będziński
Sławno	54.3580	16.6776	zachodniopomorskie	sławieński
Słomniki	50.2399	20.0821	małopolskie	krakowski
Słubice	52.3535	14.5673	lubuskie	słubicki
Słupca	52.2893	17.8726	wielkopolskie	słupecki
Słupsk	54.4670	17.0274	pomorskie	Słupsk
Sobótka	50.8996	16.7445	dolnośląskie	wrocławski
Sochaczew	52.2293	20.2384	mazowieckie	sochaczewski
Sochocin	52.6873	20.4722	mazowieckie	płoński
Sokołów Małopolski	50.2303	22.1200	podkarpackie	rzeszowski
Sokołów Podlaski	52.4080	22.2511	mazowieckie	sokołowski
Sokółka	53.4063	23.5035	podlaskie	sokólski
Solec Kujawski	53.0809	18.2264	kujawsko-pomorskie	bydgoski
Solec nad Wisłą	51.1349	21.7651	mazowieckie	lipski
Sompolno	52.3887	18.5029	wielkopolskie	koniński
Sopot	54.4431	18.5614	pomorskie	Sopot
Sosnowiec	50.2853	19.1780	śląskie	Sosnowiec
Sośnicowice	50.2723	18.5297	śląskie	gliwicki
Stalowa Wola	50.5762	22.0612	podkarpackie	stalowowolski
Starachowice	51.0533	21.0702	świętokrzyskie	starachowicki
Stargard	53.3392	15.0411	zachodniopomorskie	stargardzki
Starogard Gdański	53.9641	18.5262	pomorskie	starogardzki
Stary Sącz	49.5641	20.6349	małopolskie	nowosądecki
Staszów	50.5649	21.1670	świętokrzyskie	staszowski
Stawiski	53.3799	22.1546	podlaskie	kolneński
Stawiszyn	51.9176	18.1116	wielkopolskie	kaliski
Stąporków	51.1380	20.5643	świętokrzyskie	konecki
Stepnica	53.6523	14.6283	zachodniopomorskie	goleniowski
Stęszew	52.2806	16.7034	wielkopolskie	poznański
Stoczek Łukowski	51.9616	21.9687	lubelskie	łukowski
Stopnica	50.4397	20.9394	świętokrzyskie	buski
Stronie Śląskie	50.2988	16.8736	dolnośląskie	kłodzki
Strumień	49.9171	18.7634	śląskie	cieszyński
Stryków	51.9016	19.6048	łódzkie	zgierski
Strzegom	50.9602	16.3466	dolnośląskie	świdnicki
Strzelce Krajeńskie	52.8789	15.5334	lubuskie	strzelecko-drezdenecki
Strzelce Opolskie	50.5110	18.3005	opolskie	strzelecki
Strzelin	50.7808	17.0708	dolnośląskie	strzeliński
Strzelno	52.6280	18.1725	kujawsko-pomorskie	mogileński
Strzyżów	49.8704	21.7940	podkarpackie	strzyżowski
Sucha Beskidzka	49.7417	19.5921	małopolskie	suski
Suchań	53.2800	15.3174	zachodniopomorskie	stargardzki
Suchedniów	51.0477	20.8292	świętokrzyskie	skarżyski
Suchowola	53.5776	23.1058	podlaskie	sokólski
Sulechów	52.0853	15.6234	lubuskie	zielonogórski
Sulejów	51.3542	19.8849	łódzkie	piotrkowski
Sulejówek	52.2415	21.2906	mazowieckie	miński
Sulęcin	52.4392	15.1154	lubuskie	sulęciński
Sulmierzyce	51.6061	17.5307	wielkopolskie	krotoszyński
Sułkowice	49.8422	19.8025	małopolskie	myślenicki
Supraśl	53.2056	23.3382	podlaskie	białostocki
Suraż	52.9491	22.9564	podlaskie	białostocki
Susz	53.7189	19.3365	warmińsko-mazurskie	iławski
Suwałki	54.1014	22.9283	podlaskie	Suwałki
Swarzędz	52.4101	17.0774	wielkopolskie	poznański
Syców	51.3095	17.7205	dolnośląskie	oleśnicki
Szadek	51.6918	18.9755	łódzkie	zduńskowolski
Szamocin	53.0289	17.1217	wielkopolskie	chodzieski
Szamotuły	52.6117	16.5786	wielkopolskie	szamotulski
Szczawnica	49.4252	20.4828	małopolskie	nowotarski
Szczawno-Zdrój	50.8004	16.2509	dolnośląskie	wałbrzyski
Szczebrzeszyn	50.6949	22.9795	lubelskie	zamojski
Szczecin	53.4251	14.5508	zachodniopomorskie	Szczecin
Szczecinek	53.7027	16.7006	zachodniopomorskie	szczecinecki
Szczekociny	50.6261	19.8186	śląskie	zawierciański
Szczucin	50.3093	21.0764	małopolskie	dąbrowski
Szczuczyn	53.5630	22.2857	podlaskie	grajewski
Szczyrk	49.7119	19.0192	śląskie	bielski
Szczytna	50.4155	16.4440	dolnośląskie	kłodzki
Szczytno	53.5635	20.9950	warmińsko-mazurskie	szczycieński
Szepietowo	52.8703	22.5438	podlaskie	wysokomazowiecki
Szklarska Poręba	50.8298	15.5189	dolnośląskie	karkonoski
Szlichtyngowa	51.7123	16.2443	lubuskie	wschowski
Szprotawa	51.5651	15.5335	lubuskie	żagański
Sztum	53.9209	19.0296	pomorskie	sztumski
Szubin	53.0075	17.7335	kujawsko-pomorskie	nakielski
Szydłowiec	51.2244	20.8578	mazowieckie	szydłowiecki
Szydłów	50.5906	21.0049	świętokrzyskie	staszowski
Ścinawa	51.4128	16.4262	dolnośląskie	lubiński
Ślesin	52.3704	18.3064	wielkopolskie	koniński
Śmigiel	52.0121	16.5252	wielkopolskie	kościański
Śrem	52.0954	17.0205	wielkopolskie	śremski
Środa Śląska	51.1633	16.5977	dolnośląskie	średzki
Środa Wielkopolska	52.2290	17.2751	wielkopolskie	średzki
Świątniki Górne	49.9343	19.9536	małopolskie	krakowski
Świdnica	50.8427	16.4872	dolnośląskie	świdnicki
Świdnik	51.2159	22.6987	lubelskie	świdnicki
Świdwin	53.7747	15.7742	zachodniopomorskie	świdwiński
Świebodzice	50.8598	16.3199	dolnośląskie	świdnicki
Świebodzin	52.2477	15.5359	lubuskie	świebodziński
Świecie	53.4094	18.4472	kujawsko-pomorskie	świecki
Świeradów-Zdrój	50.9092	15.3320	dolnośląskie	lubański
Świerzawa	51.0145	15.8933	dolnośląskie	złotoryjski
Świętochłowice	50.2920	18.9159	śląskie	Świętochłowice
Świnoujście	53.9078	14.2475	zachodniopomorskie	Świnoujście
Tarczyn	51.9808	20.8349	mazowieckie	piaseczyński
Tarnobrzeg	50.5692	21.6775	podkarpackie	Tarnobrzeg
Tarnogród	50.3608	22.7419	lubelskie	biłgorajski
Tarnowskie Góry	50.4454	18.8530	śląskie	tarnogórski
Tarnów	50.0125	20.9884	małopolskie	Tarnów
Tczew	54.0881	18.7994	pomorskie	tczewski
Terespol	52.0746	23.6164	lubelskie	bialski
Tłuszcz	52.4299	21.4352	mazowieckie	wołomiński
Tolkmicko	54.3202	19.5272	warmińsko-mazurskie	elbląski
Tomaszów Lubelski	50.4511	23.4159	lubelskie	tomaszowski
Tomaszów Mazowiecki	51.5304	20.0097	łódzkie	tomaszowski
Toruń	53.0132	18.6150	kujawsko-pomorskie	Toruń
Torzym	52.3140	15.0732	lubuskie	sulęciński
Toszek	50.4547	18.5199	śląskie	gliwicki
Trzcianka	53.0400	16.4605	wielkopolskie	czarnkowsko-trzcianecki
Trzciel	52.3648	15.8730	lubuskie	międzyrzecki
Trzcińsko-Zdrój	52.9666	14.6065	zachodniopomorskie	gryfiński
Trzebiatów	54.0632	15.2660	zachodniopomorskie	gryficki
Trzebinia	50.1584	19.4729	małopolskie	chrzanowski
Trzebnica	51.3084	17.0619	dolnośląskie	trzebnicki
Trzemeszno	52.5607	17.8220	wielkopolskie	gnieźnieński
Tuchola	53.5883	17.8616	kujawsko-pomorskie	tucholski
Tuchów	49.8950	21.0544	małopolskie	tarnowski
Tuczno	53.1944	16.1538	zachodniopomorskie	wałecki
Tuliszków	52.0766	18.2938	wielkopolskie	turecki
Tułowice	50.5936	17.6544	opolskie	opolski
Turek	52.0155	18.5016	wielkopolskie	turecki
Tuszyn	51.6039	19.5439	łódzkie	łódzki wschodni
Twardogóra	51.3654	17.4678	dolnośląskie	oleśnicki
Tychowo	53.9296	16.2591	zachodniopomorskie	białogardzki
Tychy	50.1236	18.9869	śląskie	Tychy
Tyczyn	49.9640	22.0302	podkarpackie	rzeszowski
Tykocin	53.2064	22.7739	podlaskie	białostocki
Tyszowce	50.6171	23.7061	lubelskie	tomaszowski
Ujazd	50.3894	18.3500	opolskie	strzelecki
Ujazd	51.5978	19.9219	łódzkie	tomaszowski
Ujście	53.0530	16.7326	wielkopolskie	pilski
Ulanów	50.4911	22.2673	podkarpackie	niżański
Uniejów	51.9751	18.7941	łódzkie	poddębicki
Urzędów	50.9930	22.1424	lubelskie	kraśnicki
Ustka	54.5805	16.8620	pomorskie	słupski
Ustroń	49.7203	18.8120	śląskie	cieszyński
Ustrzyki Dolne	49.4300	22.5869	podkarpackie	bieszczadzki
Wadowice	49.8831	19.4929	małopolskie	wadowicki
Wałbrzych	50.7672	16.2827	dolnośląskie	Wałbrzych
Wałcz	53.2730	16.4674	zachodniopomorskie	wałecki
Warka	51.7869	21.1833	mazowieckie	grójecki
Warszawa	52.2298	21.0117	mazowieckie	Warszawa
Warta	51.7069	18.6244	łódzkie	sieradzki
Wasilków	53.1989	23.2063	podlaskie	białostocki
Wąbrzeźno	53.2800	18.9471	kujawsko-pomorskie	wąbrzeski
Wąchock	51.0740	21.0104	świętokrzyskie	starachowicki
Wągrowiec	52.8068	17.2006	wielkopolskie	wągrowiecki
Wąsosz	51.5646	16.6935	dolnośląskie	górowski
Wejherowo	54.6062	18.2333	pomorskie	wejherowski
Węgliniec	51.2861	15.2233	dolnośląskie	zgorzelecki
Węgorzewo	54.2142	21.7409	warmińsko-mazurskie	węgorzewski
Węgorzyno	53.5410	15.5594	zachodniopomorskie	łobeski
Węgrów	52.3989	22.0173	mazowieckie	węgrowski
Wiązów	50.8138	17.2011	dolnośląskie	strzeliński
Wielbark	53.3982	20.9458	warmińsko-mazurskie	szczycieński
Wieleń	52.8886	16.1679	wielkopolskie	czarnkowsko-trzcianecki
Wielichowo	52.1175	16.3497	wielkopolskie	grodziski
Wieliczka	49.9844	20.0611	małopolskie	wielicki
Wieluń	51.2210	18.5706	łódzkie	wieluński
Wieruszów	51.2950	18.1550	łódzkie	wieruszowski
Więcbork	53.3547	17.4896	kujawsko-pomorskie	sępoleński
Wilamowice	49.9163	19.1527	śląskie	bielski
Wiskitki	52.0869	20.3829	mazowieckie	żyrardowski
Wisła	49.6542	18.8608	śląskie	cieszyński
Wiślica	50.3490	20.6745	świętokrzyskie	buski
Witkowo	52.4401	17.7727	wielkopolskie	gnieźnieński
Witnica	52.6733	14.8952	lubuskie	gorzowski
Wleń	51.0168	15.6750	dolnośląskie	lwówecki
Władysławowo	54.7901	18.4087	pomorskie	pucki
Włocławek	52.6572	19.0633	kujawsko-pomorskie	Włocławek
Włodawa	51.5444	23.5540	lubelskie	włodawski
Włodowice	50.5522	19.4504	śląskie	zawierciański
Włoszczowa	50.8523	19.9676	świętokrzyskie	włoszczowski
Wodzisław	50.5207	20.1917	świętokrzyskie	jędrzejowski
Wodzisław Śląski	50.0045	18.4618	śląskie	wodzisławski
Wojcieszów	50.9508	15.9223	dolnośląskie	złotoryjski
Wojkowice	50.3629	19.0446	śląskie	będziński
Wojnicz	49.9578	20.8375	małopolskie	tarnowski
Wolbórz	51.5051	19.8300	łódzkie	piotrkowski
Wolbrom	50.3853	19.7600	małopolskie	olkuski
Wolin	53.8415	14.6134	zachodniopomorskie	kamieński
